City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Clinton city,Arkansas,2538,36910,7.75,41,City,4,3,100
Coal Hill city,Arkansas,1056,33125,0.96,46,City,1,1,100
Conway city,Arkansas,66776,47999,3.27,29.5,City,18,5,31.15
Corning city,Arkansas,3092,30923,7.56,37.9,City,2,2,100
Cotter city,Arkansas,1123,29423,4.8,62.8,City,1,1,100
Cotton Plant city,Arkansas,507,20750,4.31,55,City,1,1,100
Crossett city,Arkansas,4890,43068,0,41.4,City,3,2,72.05
Cushman city,Arkansas,428,39318,7.28,43.5,City,1,0,0
Danville city,Arkansas,2197,53705,3.33,34.2,City,4,4,100
Dardanelle city,Arkansas,4541,40495,4.66,39.1,City,2,2,100
De Queen city,Arkansas,6499,48068,4.32,30.8,City,3,2,75.37
De Valls Bluff city,Arkansas,602,22163,4,39.5,City,1,1,100
Decatur city,Arkansas,1536,41786,5.76,30.5,City,3,0,0
Delight city,Arkansas,336,27222,10.37,39.2,City,1,1,100
Dermott city,Arkansas,2807,28487,16.78,42.5,City,2,2,100
Des Arc city,Arkansas,1334,35000,5.98,47.7,City,1,1,100
DeWitt city,Arkansas,3046,37232,3.7,39.3,City,2,1,58.13
Diamond city,Arkansas,982,28167,5.9,49.2,City,1,1,100
Diaz city,Arkansas,1435,45645,14.31,31,City,3,2,100
Dierks city,Arkansas,937,37736,9.52,44.6,City,1,1,100
Dover city,Arkansas,2400,31328,5.45,37.8,City,2,0,0
Dumas city,Arkansas,3850,35373,7.02,38.1,City,2,2,100
Dyer city,Arkansas,863,54167,0,47.2,City,1,1,100
Earle city,Arkansas,2174,37188,19.59,36.2,City,1,1,100
El Dorado city,Arkansas,17826,43409,4.72,35.9,City,9,5,85.68
Elaine city,Arkansas,717,35000,40.36,36.4,City,1,1,100
Elkins city,Arkansas,3283,61992,3.85,32.6,City,3,0,0
Elm Springs city,Arkansas,2442,79779,1,43.1,City,4,0,0
Emmet city,Arkansas,444,54143,18.43,47.5,City,2,1,100
England city,Arkansas,2713,41908,7.57,39.6,City,1,1,100
Eudora city,Arkansas,2246,23554,19.33,38.9,City,1,1,100
Eureka Springs city,Arkansas,2397,34835,0.59,52.1,City,2,1,100
Evening Shade city,Arkansas,347,28438,9.68,50.9,City,1,0,0
Fairfield Bay city,Arkansas,2343,44135,6.31,68.3,City,3,2,100
Farmington city,Arkansas,7166,64325,0.92,35,City,4,0,0
Fayetteville city,Arkansas,86622,47350,5.23,27.7,City,31,0,0
Fisher city,Arkansas,139,53333,0,51.8,City,1,1,100
Flippin city,Arkansas,1247,26285,11.46,33.7,City,1,1,100
Fordyce city,Arkansas,3748,31488,8.67,32.2,City,1,1,100
Foreman city,Arkansas,1142,24507,11.46,39.7,City,1,0,0
Forrest city,Arkansas,14062,33062,6.91,34.8,City,5,3,100
Fort Smith city,Arkansas,87788,45233,5.63,36.7,City,25,9,48.49
Fouke city,Arkansas,796,27396,5.56,28.8,City,1,0,0
Gassville city,Arkansas,2515,41036,9.46,35.4,City,1,1,100
Gentry city,Arkansas,3963,43873,1.3,36,City,3,0,0
Gillett city,Arkansas,585,45833,8.84,37.6,City,1,1,100
Gilmore city,Arkansas,288,26549,38.93,30.6,City,1,1,100
Glenwood city,Arkansas,1979,29245,5.01,47,City,2,1,49.66
Gosnell city,Arkansas,3188,41732,2.12,33.4,City,3,0,0
Gould city,Arkansas,624,20417,6.45,52.9,City,2,2,100
Grady city,Arkansas,228,21250,1.45,52,City,1,1,100
Grannis city,Arkansas,546,36333,10.07,42.8,City,1,1,100
Gravette city,Arkansas,3456,46579,2.16,36.1,City,4,1,46.33
Green Forest city,Arkansas,2805,40000,6.19,31.4,City,2,1,100
Greenbrier city,Arkansas,5592,49420,0.95,29.3,City,3,0,0
Greenland city,Arkansas,1558,58333,3.52,36.4,City,3,0,0
Greenway city,Arkansas,172,30250,0,39.3,City,1,1,100
Greenwood city,Arkansas,9392,57078,3.24,37.6,City,4,1,18.34
Greers Ferry city,Arkansas,857,46458,4.55,56,City,2,1,100
Grubbs city,Arkansas,448,50625,1.88,53,City,1,0,0
Gurdon city,Arkansas,2099,34330,4.15,33.8,City,1,0,0
Guy city,Arkansas,486,60000,13.73,41.5,City,2,0,0
Hamburg city,Arkansas,2647,29938,8.12,44.5,City,1,1,100
Hampton city,Arkansas,1645,50281,5.29,41.6,City,2,2,100
Hardy city,Arkansas,765,31932,4.04,51.3,City,3,1,100
Harrisburg city,Arkansas,2874,42686,4.63,36.3,City,2,0,0
Harrison city,Arkansas,13124,41393,6.2,39.5,City,6,4,59.91
Hartford city,Arkansas,758,37885,1.27,38,City,1,0,0
Hartman city,Arkansas,558,33250,13.62,39.6,City,1,1,100
Haskell city,Arkansas,4559,72951,5.14,32.9,City,2,0,0
Havana city,Arkansas,435,38307,3.47,17.8,City,1,1,100
Hazen city,Arkansas,1724,40000,6.55,38.7,City,2,2,100
Heber Springs city,Arkansas,7156,43946,3.1,40.5,City,3,1,100
Helena-West Helena city,Arkansas,10487,23483,16.24,36.5,City,4,4,100
Hermitage city,Arkansas,862,31094,14.56,23.4,City,1,1,100
Hickory Ridge city,Arkansas,240,36250,9.01,54.6,City,1,1,100
Highland city,Arkansas,1232,41850,5.33,45.9,City,3,1,100
Holland city,Arkansas,507,57596,2.69,41.6,City,2,0,0
Holly Grove city,Arkansas,536,32500,7.02,34.5,City,1,1,100
Hope city,Arkansas,9668,39793,5.13,38.4,City,7,2,78.84
Horatio city,Arkansas,954,27885,14.25,33,City,1,1,100
Horseshoe Bend city,Arkansas,2692,34821,9.6,48.4,City,3,2,100
Hot Springs city,Arkansas,38697,40125,5.27,43.6,City,28,7,55.15
Hoxie city,Arkansas,2610,30395,9.49,37.4,City,2,1,62.38
Hughes city,Arkansas,993,18594,16,34.9,City,1,1,100
Humnoke city,Arkansas,181,37250,7.59,59.2,City,1,0,0
Humphrey city,Arkansas,353,42159,1.32,51.6,City,2,1,66.93
Huntington city,Arkansas,522,32727,1.18,34.7,City,2,0,0
Huntsville city,Arkansas,2544,40737,5.51,28.5,City,2,2,100
Huttig city,Arkansas,708,45185,14.55,47.4,City,1,1,100
Jacksonville city,Arkansas,28442,48587,8.36,33.2,City,10,5,54.34
Jasper city,Arkansas,811,25707,5.88,37.9,City,2,2,100
Johnson city,Arkansas,3719,74125,1.13,32.2,City,2,0,0
Joiner city,Arkansas,564,25089,19.91,30.3,City,1,1,100
Jonesboro city,Arkansas,77391,47062,6.27,34,City,20,8,67.13
Judsonia city,Arkansas,2360,31125,4.46,40.8,City,2,0,0
Junction city,Arkansas,681,28674,7.04,47.1,City,2,0,0
Keiser city,Arkansas,791,29167,23.17,34.3,City,1,1,100
Kensett city,Arkansas,2288,26168,5.12,34.3,City,1,0,0
Kibler city,Arkansas,1176,47031,5.07,35.2,City,1,1,100
Kingsland city,Arkansas,514,24018,0.41,37.1,City,1,1,100
Knobel city,Arkansas,245,80115,0,49.1,City,1,1,100
Lake city,Arkansas,2556,50271,7.82,35.1,City,2,1,100
Lake View city,Arkansas,412,18750,23.85,42.6,City,1,1,100
Lake Village city,Arkansas,2258,40101,5.65,38.9,City,1,1,100
Lakeview city,Arkansas,972,49167,1.46,65,City,1,0,0
Lamar city,Arkansas,1696,37667,3.68,29.6,City,2,2,100
Lavaca city,Arkansas,2442,64250,4.71,29.1,City,3,0,0
Leachville city,Arkansas,2498,33000,9.53,35.1,City,1,0,0
Lepanto city,Arkansas,1922,35649,7.44,41.1,City,1,1,100
Leslie city,Arkansas,549,22900,4.09,52.1,City,1,1,100
Lewisville city,Arkansas,881,26250,7.96,49.4,City,3,1,100
Lincoln city,Arkansas,2465,38447,3.58,35.8,City,3,1,100
Little Flock city,Arkansas,2776,43490,5.52,31.8,City,3,1,29.42
Little Rock city,Arkansas,198067,53620,4.19,36.5,City,59,23,48.39
Lockesburg city,Arkansas,621,39922,4,33.2,City,2,1,41.5
London city,Arkansas,768,33750,6.08,39.4,City,3,2,73.84
Lonoke city,Arkansas,4206,41129,6.51,38.5,City,2,0,0
Lowell city,Arkansas,9433,78359,0.73,33.2,City,5,1,43.05
Luxora city,Arkansas,985,25577,7.77,35.1,City,1,1,100
Madison city,Arkansas,1055,33553,4.57,37.6,City,3,2,100
Magazine city,Arkansas,949,36618,6.77,35.2,City,2,1,46.74
Magnolia city,Arkansas,11537,34107,5.4,29,City,6,3,100
Malvern city,Arkansas,10886,35833,9.03,38.6,City,7,4,81.82
Mammoth Spring city,Arkansas,1117,43833,2.27,39.3,City,1,0,0
Manila city,Arkansas,3340,55524,2.99,32.1,City,2,0,0
Mansfield city,Arkansas,1199,36328,7.74,35.7,City,3,1,39.76
Marianna city,Arkansas,3472,16704,22.54,42.5,City,2,2,100
Marion city,Arkansas,12371,77929,5.29,35.1,City,7,3,29.26
Marked Tree city,Arkansas,2277,25526,6.34,42.4,City,3,2,79.45
Marmaduke city,Arkansas,1377,45694,9.55,33.4,City,1,1,100
Marshall city,Arkansas,1327,27154,4.55,53.6,City,1,1,100
Marvell city,Arkansas,1620,33576,23.28,41.2,City,2,0,0
Maumelle city,Arkansas,18193,84112,4.1,40.3,City,6,0,0
Mayflower city,Arkansas,2250,51776,1.04,43.8,City,2,1,51.42
McCrory city,Arkansas,1831,48382,2.55,35.9,City,1,1,100
McGehee city,Arkansas,3748,27865,4.02,36.5,City,2,2,100
McNeil city,Arkansas,474,36136,18.25,37.5,City,1,1,100
McRae city,Arkansas,690,31667,4.35,46,City,1,0,0
Melbourne city,Arkansas,1655,35000,9.97,39.6,City,1,1,100
Mena city,Arkansas,5524,38778,13.19,40.8,City,3,1,100
Mineral Springs city,Arkansas,1051,33750,8.35,40.1,City,1,1,100
Mitchellville city,Arkansas,339,19688,9.09,45.2,City,1,1,100
Monette city,Arkansas,1514,42031,8.81,46.1,City,1,1,100
Monticello city,Arkansas,9392,33802,3.19,32.7,City,3,2,46.33
Montrose city,Arkansas,402,26131,9.02,33.4,City,1,1,100
Morrilton city,Arkansas,6638,33313,7.5,36.8,City,3,2,74.97
Mount Ida city,Arkansas,1160,40774,9.45,56,City,1,1,100
Mountain Home city,Arkansas,12463,40351,5.43,46.4,City,6,4,61.43
Mountain Pine city,Arkansas,516,31250,3.26,45.4,City,1,0,0
Mountain View city,Arkansas,2877,23209,2.56,56,City,2,0,0
Mountainburg city,Arkansas,552,40156,5.88,40.5,City,2,0,0
Mulberry city,Arkansas,1586,35179,6.12,48.6,City,1,1,100
Murfreesboro city,Arkansas,1905,29875,8.37,44.1,City,1,1,100
Nashville city,Arkansas,4359,33302,11.42,36.9,City,2,2,100
Newark city,Arkansas,1290,26518,2.61,38.4,City,1,1,100
Newport city,Arkansas,7552,32783,10.29,39.6,City,5,3,100
Norfork city,Arkansas,572,30000,6.47,29.6,City,1,1,100
Norphlet city,Arkansas,642,55703,0,39.8,City,1,1,100
North Little Rock city,Arkansas,66079,43831,7.09,35,City,26,8,30.28
Ola city,Arkansas,873,23967,10.51,47.7,City,2,2,100
Oppelo city,Arkansas,832,55000,5.65,42.3,City,1,1,100
Osceola city,Arkansas,6786,37871,13.21,34,City,3,3,100
Oxford city,Arkansas,694,42000,9.68,51.2,City,1,1,100
Ozark city,Arkansas,3618,27589,18.67,39,City,7,3,100
Palestine city,Arkansas,838,28173,7.28,37.1,City,1,1,100
Pangburn city,Arkansas,652,26678,5.52,40.2,City,1,1,100
Paragould city,Arkansas,28821,48276,7.13,35.6,City,10,1,10.22
Paris city,Arkansas,3403,37652,4.76,42.9,City,2,2,100
Parkdale city,Arkansas,269,33958,4.29,36.4,City,2,2,100
Parkin city,Arkansas,739,24464,17.05,53.1,City,1,1,100
Patterson city,Arkansas,346,26625,7.05,42.3,City,2,2,100
Pea Ridge city,Arkansas,5960,97776,2.18,40.1,City,4,0,0
Perryville city,Arkansas,1449,49583,11.8,44.1,City,1,1,100
Piggott city,Arkansas,3579,37409,6.48,38.5,City,2,2,100
Pine Bluff city,Arkansas,42323,34410,10.8,36.4,City,21,16,61.23
Plainview city,Arkansas,588,37143,4.15,46.6,City,1,1,100
Plumerville city,Arkansas,745,31506,5.9,43.8,City,1,0,0
Pocahontas city,Arkansas,6582,42400,4.34,36.5,City,3,2,100
Pollard city,Arkansas,214,37583,20.51,52.1,City,1,1,100
Portland city,Arkansas,375,39250,0,49.2,City,1,1,100
Pottsville city,Arkansas,3252,58750,1.67,33.3,City,3,0,0
Prairie Grove city,Arkansas,6236,61891,4.81,40.1,City,5,1,100
Prescott city,Arkansas,2995,34761,3.55,40.9,City,1,1,100
Quitman city,Arkansas,853,36667,12.73,36.7,City,3,0,0
Ratcliff city,Arkansas,202,40278,7.37,37,City,1,1,100
Rector city,Arkansas,1948,32103,8.48,40.7,City,1,1,100
Redfield city,Arkansas,1327,53705,2.51,41.6,City,1,0,0
Reyno city,Arkansas,466,40625,4.35,29.6,City,1,1,100
Rison city,Arkansas,1139,22381,15.14,38.3,City,1,0,0
Rockport city,Arkansas,819,42857,0.62,49.4,City,3,1,100
Rogers city,Arkansas,67787,65511,2.22,33,City,21,8,45.17
Russellville city,Arkansas,29227,37436,7.91,27.6,City,13,2,73.84
Salem city,Arkansas,1532,24453,3.05,46.3,City,4,0,0
Salesville city,Arkansas,302,39375,3.94,49.4,City,1,1,100
Scranton city,Arkansas,271,51250,0.65,33.8,City,1,1,100
Searcy city,Arkansas,23673,39650,7.18,28.8,City,10,0,0
Shannon Hills city,Arkansas,3914,67262,3.64,35.1,City,3,1,28.92
Sheridan city,Arkansas,4919,46938,1.56,40.8,City,4,1,56.11
Sherwood city,Arkansas,31225,63877,2.7,38.8,City,12,2,20.43
Siloam Springs city,Arkansas,17031,52073,4.17,29.9,City,7,3,69.29
Smackover city,Arkansas,1758,49630,5.89,44.5,City,1,1,100
Southside city,Arkansas,3963,45000,1.07,42.7,City,2,0,0
Sparkman city,Arkansas,498,25341,1.32,55.5,City,1,1,100
Springdale city,Arkansas,80433,51868,4.81,31.8,City,27,4,44.2
St. Francis city,Arkansas,258,32200,0,49.8,City,1,1,100
Stamps city,Arkansas,1770,26500,16.06,38.2,City,2,1,100
Star city,Arkansas,1762,55750,0.82,44.5,City,3,2,75.85
Stephens city,Arkansas,1058,27656,3.63,37.6,City,1,0,0
Stuttgart city,Arkansas,8617,49736,5.48,38.2,City,3,3,100
Sulphur Springs city,Arkansas,444,32039,3.8,36.6,City,4,1,36.36
Summit city,Arkansas,508,41875,20.28,31,City,1,1,100
Swifton city,Arkansas,1182,38466,13.58,25.4,City,1,1,100
Taylor city,Arkansas,875,33462,2.76,23.9,City,1,0,0
Texarkana city,Arkansas,29864,41873,9.2,40.2,City,14,7,81.18
Thornton city,Arkansas,596,36607,34.11,33.3,City,2,2,100
Tillar city,Arkansas,223,37857,3.45,51.2,City,2,1,44.77
Tontitown city,Arkansas,4341,69310,2.04,41.8,City,4,0,0
Traskwood city,Arkansas,350,57500,0,53.9,City,2,0,0
Trumann city,Arkansas,7000,39005,0.87,38.1,City,3,1,33.79
Tuckerman city,Arkansas,1734,35909,3.04,35.2,City,1,1,100
Turrell city,Arkansas,604,24792,19.85,38.4,City,2,2,100
Tyronza city,Arkansas,716,46875,5.86,37.3,City,1,1,100
Van Buren city,Arkansas,23600,48546,5.84,34.5,City,7,3,58.86
Vilonia city,Arkansas,4556,70565,1.78,32.4,City,2,1,44.71
Waldo city,Arkansas,1370,33299,5.73,38.9,City,1,1,100
Waldron city,Arkansas,3379,34145,9.54,39.5,City,2,2,100
Walnut Ridge city,Arkansas,5104,48266,7.95,39.7,City,4,2,68.74
Ward city,Arkansas,5195,64737,3.64,28.7,City,4,1,48.16
Warren city,Arkansas,5596,38214,3.48,38.5,City,4,4,100
Washington city,Arkansas,134,34792,18.64,49.6,City,2,0,0
Watson city,Arkansas,208,27014,1.61,69,City,1,1,100
Weiner city,Arkansas,823,39792,5.72,34.3,City,1,1,100
West Fork city,Arkansas,2622,58250,0.87,35.9,City,2,0,0
West Memphis city,Arkansas,24656,32601,11.06,33.3,City,13,8,71.01
Wheatley city,Arkansas,615,39476,1.12,41.2,City,1,1,100
White Hall city,Arkansas,5017,79808,2.02,31.4,City,3,1,28.21
Wiederkehr Village city,Arkansas,21,91000,0,56.8,City,1,0,0
Wilmot city,Arkansas,499,38542,18,48.7,City,1,1,100
Wilson city,Arkansas,1118,62718,2.86,33.4,City,1,1,100
Wilton city,Arkansas,401,49167,14.48,44.7,City,1,0,0
Winslow city,Arkansas,377,43750,6.76,42.7,City,2,1,45.51
Winthrop city,Arkansas,156,25000,0,34.8,City,1,0,0
Wrightsville city,Arkansas,1695,27232,3.27,37.9,City,2,2,100
Wynne city,Arkansas,7773,36310,7.69,36.8,City,4,2,53.09
Yellville city,Arkansas,1281,29737,13.59,33.8,City,2,2,100
Adelanto city,California,34238,49493,12.22,27.6,City,9,0,0
Agoura Hills city,California,20269,126956,4.46,45.4,City,7,0,0
Alameda city,California,79827,106737,4.03,40.2,City,17,0,0
Albany city,California,20145,103132,2.96,36.2,City,9,0,0
Alhambra city,California,84509,66593,4.27,41.4,City,23,17,68.72
Aliso Viejo city,California,50385,118540,3.5,37.4,City,12,0,0
Alturas city,California,2550,40921,12.67,43.4,City,2,2,100
Amador city,California,153,55833,5.97,38.1,City,1,0,0
American Canyon city,California,20256,108884,4.48,36.9,City,5,0,0
Anaheim city,California,353085,76723,5.25,34.8,City,81,37,50.85
Anderson city,California,10479,41069,4.98,36.3,City,5,4,77.49
Angels city,California,3889,51451,3.17,54.5,City,3,0,0
Antioch city,California,111468,80234,8.52,36.4,City,23,7,43.87
Arcadia city,California,57053,95736,4.74,43.3,City,16,4,27.86
Arcata city,California,18266,38603,14.57,27.5,City,8,1,7.53
Arroyo Grande city,California,17924,88068,2.3,45.8,City,6,0,0
Artesia city,California,16456,74375,6.35,38.5,City,3,1,16.37
Arvin city,California,21220,39750,9.58,24.7,City,4,4,100
Atascadero city,California,30444,79620,2.77,38.6,City,9,0,0
Atwater city,California,30336,57052,10.05,33.6,City,10,7,77.36
Auburn city,California,14104,67282,4.43,48.6,City,9,0,0
Avalon city,California,3738,78529,0.04,46.7,City,2,0,0
Avenal city,California,13033,49781,11.57,29.4,City,4,2,100
Azusa city,California,49584,65912,6.35,30.4,City,15,4,33.16
Bakersfield city,California,379879,65687,7.6,31,City,138,26,54.07
Baldwin Park city,California,75659,68741,6.21,35.5,City,19,15,100
Banning city,California,30276,43442,8.69,43.6,City,9,6,67.65
Barstow city,California,23547,42912,9.31,30.3,City,10,5,100
Beaumont city,California,48272,88932,6.2,34.4,City,13,2,14.34
Bell city,California,35301,47740,7.63,31.8,City,40,23,69.1
Bell Gardens city,California,41770,45289,6.47,29.6,City,9,9,100
Bellflower city,California,76339,63848,7.59,34.7,City,18,6,38.22
Belmont city,California,26963,160046,5.35,39.3,City,5,0,0
Belvedere city,California,2246,247768,2.16,49.3,City,2,0,0
Benicia city,California,28158,106989,3.42,46.1,City,9,0,0
Berkeley city,California,123065,91259,5.21,32.1,City,35,0,0
Beverly Hills city,California,33709,101241,7.51,46.9,City,7,0,0
Big Bear Lake city,California,5302,54896,4.8,40.6,City,5,3,48.01
Biggs city,California,2648,64107,11.29,27.8,City,1,0,0
Bishop city,California,3747,64949,4.12,46.6,City,3,0,0
Blue Lake city,California,934,49479,7.23,55.1,City,2,0,0
Blythe city,California,19747,44563,8.54,35.7,City,8,6,69.88
Bradbury city,California,825,181875,7.37,50.4,City,1,0,0
Brawley city,California,25942,46177,22.49,29.1,City,6,4,100
Brea city,California,44182,100969,5.02,39.6,City,14,1,6.67
Brentwood city,California,63013,113298,6.04,40.9,City,13,0,0
Brisbane city,California,4645,114583,8.68,48.5,City,2,0,0
Buellton city,California,5276,105694,1.28,40.8,City,4,0,0
Buena Park city,California,82228,84680,4.5,36.7,City,18,8,48.87
Burbank city,California,103411,79212,6.63,39.6,City,30,2,6.51
Burlingame city,California,30071,138344,3.92,41,City,8,0,0
Calabasas city,California,23842,136138,8.44,43.5,City,8,0,0
Calexico city,California,39841,42732,15.39,34.6,City,10,1,100
California city,California,14001,47575,17.48,34.3,City,5,2,75.92
Calimesa city,California,9156,61671,4,44.5,City,4,0,0
Calipatria city,California,7260,37196,12.22,33.3,City,2,2,100
Calistoga city,California,5346,70954,4.26,47.3,City,1,0,0
Camarillo city,California,68583,98039,4.23,40.5,City,17,0,0
Campbell city,California,42891,122644,2.48,38.9,City,20,0,0
Canyon Lake city,California,11237,107868,4.18,42.6,City,7,1,15.24
Capitola city,California,10090,81617,1.55,45.3,City,7,0,0
Carlsbad city,California,114411,112933,5.76,41.8,City,30,0,0
Carmel-by-the-Sea city,California,3789,101696,0.05,65,City,3,0,0
Carpinteria city,California,13449,74868,4.58,41.1,City,5,1,18.04
Carson city,California,91354,86040,6.74,40.1,City,24,3,20.28
Cathedral city,California,54812,50350,7.11,40.6,City,20,10,60.08
Ceres city,California,48355,59247,11.58,30.8,City,14,7,66.72
Cerritos city,California,49388,109229,5.46,45,City,11,0,0
Chico city,California,98683,57357,7.34,29.8,City,25,4,16.36
Chino city,California,89170,85659,5.27,37.3,City,37,3,12.52
Chino Hills city,California,82800,104661,4.97,38.6,City,16,0,0
Chowchilla city,California,18443,56683,6.43,34.1,City,4,1,100
Chula Vista city,California,268779,86132,9.66,36,City,64,22,49.92
Citrus Heights city,California,87665,65867,5.98,37.6,City,23,3,15.73
Claremont city,California,35610,101080,6.2,40.4,City,10,0,0
Clayton city,California,11585,153607,5.22,43.1,City,6,0,0
Clearlake city,California,15329,36339,19.67,38.3,City,10,3,100
Cloverdale city,California,8854,80896,1.55,43,City,2,1,39.55
Clovis city,California,112663,84119,6.25,34.8,City,29,7,28.31
Coachella city,California,45658,33999,16.55,36.4,City,13,8,93.78
Coalinga city,California,17252,62420,9.62,33.9,City,3,1,54.93
Colfax city,California,2258,62295,6.22,35.8,City,2,0,0
Colton city,California,54215,56762,6.75,31.8,City,20,9,57.84
Colusa city,California,6111,54605,2.7,39,City,2,0,0
Commerce city,California,12738,54639,5.56,37.5,City,4,3,76.66
Compton city,California,95804,58703,9.08,31.8,City,29,25,88.48
Concord city,California,129227,92706,4.74,38.1,City,36,5,20.15
Corcoran city,California,22078,42997,11.76,34.5,City,6,5,100
Corning city,California,7589,48038,8.12,33,City,3,1,100
Corona city,California,168112,88434,4.29,34.8,City,50,8,20.07
Coronado city,California,24526,108992,3.95,40.6,City,10,0,0
Costa Mesa city,California,112958,90370,4.77,35.6,City,30,4,18.15
Cotati city,California,7487,86982,2.99,38.7,City,7,0,0
Covina city,California,47787,77913,6.83,37.5,City,15,1,6.21
Crescent city,California,6690,33347,8.08,33.8,City,5,3,61.68
Cudahy city,California,23606,46279,7.66,29.1,City,6,6,100
Culver city,California,38913,97540,5.23,42.6,City,9,1,9.3
Cupertino city,California,59799,182857,2.53,41.2,City,20,0,0
Cypress city,California,49137,102005,4.11,41.8,City,15,2,19.25
Daly city,California,107197,99910,4.75,40.4,City,23,7,39.01
Dana Point city,California,33782,105250,4.07,48.9,City,12,0,0
Davis city,California,68640,75394,6.34,26.2,City,19,0,0
Del Mar city,California,4331,161705,2,52.5,City,4,0,0
Del Rey Oaks city,California,1518,101458,9.65,49.4,City,3,0,0
Delano city,California,52821,47042,11.87,31.1,City,13,4,100
Desert Hot Springs city,California,29280,37818,7.66,36.4,City,9,7,93.29
Diamond Bar city,California,55870,100723,4.19,42.9,City,13,0,0
Dinuba city,California,24455,46163,10.53,26.7,City,5,4,100
Dixon city,California,20106,79465,5.81,32.3,City,5,0,0
Dorris city,California,867,33194,6.3,36.7,City,1,1,100
Dos Palos city,California,5266,59155,15.1,31.7,City,4,1,100
Downey city,California,111263,75974,6.07,35.5,City,27,3,18.09
Duarte city,California,21399,82620,7.97,41.9,City,5,2,66.94
Dublin city,California,63856,152745,3.64,36.3,City,10,0,0
Dunsmuir city,California,1870,39821,7.46,40.1,City,1,1,100
East Palo Alto city,California,29448,83511,4.14,32.4,City,7,0,0
Eastvale city,California,65766,127881,4.49,33,City,11,0,0
